Students-->,Fred,Peter,Mary,Joe,"________","________","________","________","________",assignmentShortName
0,*,✓,?,✓,,,,,,a00 intro
1,,,,,,,,,a01 led blink
2,,,,,,,,,a02 button input
3,,,,,,,,,a03 analog read
4,,,,,,,,,a04 pwm fade
5,,,,,,,,,a05 rgb led
6,,,,,,,,,a06 servo motor
7,,,,,,,,,a07 ultrasonic sensor
8,,,,,,,,,a08 dht11 temp
9,,,,,,,,,a09 oled display
10,,,,,,,,,a10 neopixel strip
11,,,,,,,,,a11 wifi connect
12,,,,,,,,,a12 mqtt publish
13,,,,,,,,,a13 webserver
14,,,,,,,,,a14 ble uart
15,,,,,,,,,a15 camera capture
16,,,,,,,,,a16 sound to sd
17,,,,,,,,,a17 tinyml inferencing
18,,,,,,,,,a18 webgpu dashboard
19,,,,,,,,,a19 final project
20,,,,,,,,,a20
21,,,,,,,,,a21
22,,,,,,,,,a22
23,,,,,,,,,a23
24,,,,,,,,,a24
25,,,,,,,,,a25
26,,,,,,,,,a26
27,,,,,,,,,a27
28,,,,,,,,,a28
29,,,,,,,,,a29
30,,,,,,,,,a30
31,,,,,,,,,a31
32,,,,,,,,,a32
33,,,,,,,,,a33
34,,,,,,,,,a34
35,,,,,,,,,a35
36,,,,,,,,,a36
37,,,,,,,,,a37
38,,,,,,,,,a38
39,,,,,,,,,a39
40,,,,,,,,,a40
41,,,,,,,,,a41
42,,,,,,,,,a42
43,,,,,,,,,a43
44,,,,,,,,,a44
45,,,,,,,,,a45
46,,,,,,,,,a46
47,,,,,,,,,a47
48,,,,,,,,,a48
49,,,,,,,,,a49
50,,,,,,,,,a50
51,,,,,,,,,a51
52,,,,,,,,,a52
53,,,,,,,,,a53
54,,,,,,,,,a54
55,,,,,,,,,a55
56,,,,,,,,,a56
57,,,,,,,,,a57
58,,,,,,,,,a58
59,,,,,,,,,a59
60,,,,,,,,,a60
61,,,,,,,,,a61
62,,,,,,,,,a62
63,,,,,,,,,a63
64,,,,,,,,,a64
65,,,,,,,,,a65
66,,,,,,,,,a66
67,,,,,,,,,a67
68,,,,,,,,,a68
69,,,,,,,,,a69
70,,,,,,,,,a70
